record_id,genre_position,genre_label
imdb-0001,1,Drama
imdb-0002,1,Crime
imdb-0002,2,Drama
imdb-0003,1,Action
imdb-0003,2,Crime
imdb-0003,3,Drama
imdb-0004,1,Crime
imdb-0004,2,Drama
imdb-0005,1,Crime
imdb-0005,2,Drama
imdb-0006,1,Action
imdb-0006,2,Adventure
imdb-0006,3,Drama
imdb-0007,1,Crime
imdb-0007,2,Drama
imdb-0008,1,Biography
imdb-0008,2,Drama
imdb-0008,3,History
imdb-0009,1,Action
imdb-0009,2,Adventure
imdb-0009,3,Sci-Fi
imdb-0010,1,Drama
imdb-0011,1,Action
imdb-0011,2,Adventure
imdb-0011,3,Drama
imdb-0012,1,Drama
imdb-0012,2,Romance
imdb-0013,1,Western
imdb-0014,1,Action
imdb-0014,2,Adventure
imdb-0014,3,Drama
imdb-0015,1,Action
imdb-0015,2,Sci-Fi
imdb-0016,1,Biography
imdb-0016,2,Crime
imdb-0016,3,Drama
imdb-0017,1,Action
imdb-0017,2,Adventure
imdb-0017,3,Fantasy
imdb-0018,1,Drama
imdb-0019,1,Biography
imdb-0019,2,Drama
imdb-0019,3,History
imdb-0020,1,Comedy
imdb-0020,2,Drama
imdb-0020,3,Thriller
imdb-0021,1,Drama
imdb-0022,1,Adventure
imdb-0022,2,Drama
imdb-0022,3,Sci-Fi
imdb-0023,1,Crime
imdb-0023,2,Drama
imdb-0024,1,Animation
imdb-0024,2,Adventure
imdb-0024,3,Family
imdb-0025,1,Drama
imdb-0025,2,War
imdb-0026,1,Crime
imdb-0026,2,Drama
imdb-0026,3,Fantasy
imdb-0027,1,Comedy
imdb-0027,2,Drama
imdb-0027,3,Romance
imdb-0028,1,Crime
imdb-0028,2,Drama
imdb-0028,3,Mystery
imdb-0029,1,Crime
imdb-0029,2,Drama
imdb-0029,3,Thriller
imdb-0030,1,Action
imdb-0030,2,Adventure
imdb-0030,3,Fantasy
imdb-0031,1,Action
imdb-0031,2,Drama
imdb-0031,3,Mystery
imdb-0032,1,Action
imdb-0032,2,Adventure
imdb-0032,3,Drama
imdb-0033,1,Drama
imdb-0033,2,Family
imdb-0033,3,Fantasy
imdb-0034,1,Crime
imdb-0034,2,Drama
imdb-0034,3,Thriller
imdb-0035,1,Drama
imdb-0035,2,Music
imdb-0036,1,Biography
imdb-0036,2,Comedy
imdb-0036,3,Drama
imdb-0037,1,Drama
imdb-0037,2,Mystery
imdb-0037,3,Sci-Fi
imdb-0038,1,Crime
imdb-0038,2,Drama
imdb-0038,3,Thriller
imdb-0039,1,Biography
imdb-0039,2,Drama
imdb-0039,3,Music
imdb-0040,1,Action
imdb-0040,2,Adventure
imdb-0040,3,Drama
imdb-0041,1,Drama
imdb-0042,1,Crime
imdb-0042,2,Mystery
imdb-0042,3,Thriller
imdb-0043,1,Action
imdb-0043,2,Crime
imdb-0043,3,Drama
imdb-0044,1,Animation
imdb-0044,2,Adventure
imdb-0044,3,Drama
imdb-0045,1,Action
imdb-0045,2,Sci-Fi
imdb-0046,1,Drama
imdb-0046,2,Romance
imdb-0047,1,Animation
imdb-0047,2,Drama
imdb-0047,3,War
imdb-0048,1,Adventure
imdb-0048,2,Comedy
imdb-0048,3,Sci-Fi
imdb-0049,1,Western
imdb-0050,1,Horror
imdb-0050,2,Mystery
imdb-0050,3,Thriller
imdb-0051,1,Drama
imdb-0051,2,Romance
imdb-0051,3,War
imdb-0052,1,Comedy
imdb-0052,2,Drama
imdb-0052,3,Family
imdb-0053,1,Comedy
imdb-0053,2,Drama
imdb-0053,3,Romance
imdb-0054,1,Drama
imdb-0055,1,Biography
imdb-0055,2,Drama
imdb-0055,3,History
imdb-0056,1,Action
imdb-0056,2,Crime
imdb-0056,3,Drama
imdb-0057,1,Animation
imdb-0057,2,Drama
imdb-0057,3,Fantasy
imdb-0058,1,Action
imdb-0058,2,Biography
imdb-0058,3,Drama
imdb-0059,1,Animation
imdb-0059,2,Action
imdb-0059,3,Adventure
imdb-0060,1,Action
imdb-0060,2,Adventure
imdb-0060,3,Drama
imdb-0061,1,Action
imdb-0061,2,Adventure
imdb-0061,3,Sci-Fi
imdb-0062,1,Animation
imdb-0062,2,Adventure
imdb-0062,3,Family
imdb-0063,1,Drama
imdb-0063,2,Western
imdb-0064,1,Action
imdb-0064,2,Adventure
imdb-0065,1,Comedy
imdb-0065,2,Drama
imdb-0066,1,Drama
imdb-0066,2,Family
imdb-0067,1,Animation
imdb-0067,2,Adventure
imdb-0067,3,Family
imdb-0068,1,Drama
imdb-0068,2,Mystery
imdb-0068,3,Thriller
imdb-0069,1,Action
imdb-0069,2,Drama
imdb-0069,3,Mystery
imdb-0070,1,Mystery
imdb-0070,2,Thriller
imdb-0071,1,Animation
imdb-0071,2,Action
imdb-0071,3,Adventure
imdb-0072,1,Crime
imdb-0072,2,Drama
imdb-0073,1,Action
imdb-0073,2,Adventure
imdb-0074,1,Drama
imdb-0074,2,Horror
imdb-0075,1,Drama
imdb-0075,2,Mystery
imdb-0075,3,War
imdb-0076,1,Horror
imdb-0076,2,Sci-Fi
imdb-0077,1,Drama
imdb-0077,2,Musical
imdb-0078,1,Crime
imdb-0078,2,Drama
imdb-0078,3,Mystery
imdb-0079,1,Comedy
imdb-0080,1,Crime
imdb-0080,2,Drama
imdb-0080,3,Mystery
imdb-0081,1,Drama
imdb-0081,2,War
imdb-0082,1,Mystery
imdb-0082,2,Thriller
imdb-0083,1,Drama
imdb-0083,2,Film-Noir
imdb-0084,1,Comedy
imdb-0084,2,Drama
imdb-0084,3,War
imdb-0085,1,Drama
imdb-0085,2,Thriller
imdb-0085,3,War
imdb-0086,1,Drama
imdb-0086,2,Fantasy
imdb-0086,3,Horror
imdb-0087,1,Crime
imdb-0087,2,Drama
imdb-0087,3,Music
imdb-0088,1,Crime
imdb-0088,2,Drama
imdb-0088,3,Thriller
imdb-0089,1,Drama
imdb-0090,1,Drama
imdb-0091,1,Drama
imdb-0091,2,Mystery
imdb-0091,3,War
imdb-0092,1,Drama
imdb-0093,1,Drama
imdb-0093,2,Family
imdb-0094,1,Adventure
imdb-0094,2,Drama
imdb-0094,3,War
imdb-0095,1,Drama
imdb-0095,2,Romance
imdb-0095,3,Sci-Fi
imdb-0096,1,Comedy
imdb-0096,2,Romance
imdb-0097,1,Comedy
imdb-0097,2,Crime
imdb-0098,1,Drama
imdb-0099,1,Drama
imdb-0100,1,Drama
imdb-0100,2,Romance
imdb-0101,1,Drama
imdb-0101,2,Family
imdb-0101,3,Sport
imdb-0102,1,Animation
imdb-0102,2,Adventure
imdb-0102,3,Comedy
imdb-0103,1,Biography
imdb-0103,2,Drama
imdb-0103,3,History
imdb-0104,1,Crime
