mp_id,name,party,state,constituency,gender,age,education,attendance_pct,debates_count,total_questions_prs,total_questions_parsed,pvt_member_bills_count,profile_url,Health and Family Welfare,Agriculture and Farmers Welfare,Railways,Finance,Education,"Environment, Forest and Climate Change",Jal Shakti,Women and Child Development,Road Transport and Highways,Housing and Urban Affairs,Home Affairs,Commerce and Industry,Labour and Employment,Civil Aviation,Rural Development,"Consumer Affairs, Food and Public Distribution",AYUSH,Communications,Petroleum and Natural Gas,Textiles,Chemicals and Fertilizers,Law and Justice,"Fisheries, Animal Husbandry and Dairying",Tourism,Electronics and Information Technology,"Micro, Small and Medium Enterprises",Social Justice and Empowerment,Culture,Defence,New and Renewable Energy,Skill Development and Entrepreneurship,External Affairs,Youth Affairs and Sports,Human Resource Development,Power,Tribal Affairs,Information and Broadcasting,Coal,Prime Minister,Food Processing Industries,Corporate Affairs,Science and Technology,Minority Affairs,"Ports, Shipping and Waterways",Heavy Industries and Public Enterprises,Earth Sciences,Panchayati Raj,Mines,Steel,Statistics and Programme Implementation,Cooperation,Planning,Shipping,Development of North Eastern Region,Ayush,Consumer Affairs,Micro,Parliamentary Affairs,Heavy Industries,Statiscs and Programme Implementation,Atomic Energy,"Personnel, Public Grievances and Pensions",Space
kuldeep-rai-sharma,Kuldeep Rai Sharma,INC,Andaman and Nicobar Islands,Andaman and Nicobar Islands,Male,56 years,Professional Graduate,70,834,610,610,9,https://prsindia.org/mptrack/17-lok-sabha/kuldeep-rai-sharma,67,38,28,27,25,9,9,13,14,23,13,22,15,12,9,17,17,12,11,18,7,12,14,11,6,16,6,9,5,12,6,5,16,11,5,0,10,17,1,10,2,8,3,1,0,0,0,3,4,1,1,1,4,0,2,1,1,0,0,0,0,0,0
chinta-anuradha,Chinta Anuradha,YSRCP,Andhra Pradesh,Amalapuram,Female,51 years,Graduate,67,37,280,280,1,https://prsindia.org/mptrack/17-lok-sabha/chinta-anuradha,15,5,6,12,6,9,6,11,7,5,8,6,6,12,2,7,9,4,7,5,5,5,7,3,9,6,2,2,7,6,6,5,1,1,4,7,5,4,2,3,6,3,6,4,4,8,3,3,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0
beesetti-venkata-satyavathi,Beesetti Venkata Satyavathi,YSRCP,Andhra Pradesh,Anakapalli,Female,57 years,Doctorate,85,76,299,299,0,https://prsindia.org/mptrack/17-lok-sabha/beesetti-venkata-satyavathi,14,13,9,13,12,9,7,6,8,6,9,7,8,10,4,6,10,5,5,6,8,7,5,7,7,9,1,5,3,11,6,1,2,0,3,6,2,5,4,6,7,1,4,5,5,4,1,1,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0
talari-rangaiah,Talari Rangaiah,YSRCP,Andhra Pradesh,Anantapur,Male,53 years,Post Graduate,85,22,215,215,1,https://prsindia.org/mptrack/17-lok-sabha/talari-rangaiah,6,4,9,7,8,6,10,7,3,6,10,5,7,5,8,3,4,5,2,2,3,6,8,3,5,1,7,3,4,9,4,6,1,2,2,2,0,0,2,2,3,1,9,2,1,3,2,0,3,3,0,0,1,0,0,0,0,0,0,0,0,0,0
goddeti-madhavi,Goddeti Madhavi,YSRCP,Andhra Pradesh,Araku,Female,31 years,Graduate,86,40,171,171,0,https://prsindia.org/mptrack/17-lok-sabha/goddeti-madhavi,7,9,0,8,11,4,0,4,3,8,7,7,3,9,1,5,3,7,1,3,5,2,7,1,4,3,3,4,3,3,3,1,0,0,0,9,1,0,1,4,4,1,3,3,2,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
suresh-nandigam,Suresh Nandigam,YSRCP,Andhra Pradesh,Bapatla,Male,47 years,Matric,35,2,8,8,0,https://prsindia.org/mptrack/17-lok-sabha/suresh-nandigam,2,0,0,2,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
n-reddeppa,N. Reddeppa,YSRCP,Andhra Pradesh,Chittoor,Male,72 years,Post Graduate,82,25,331,331,0,https://prsindia.org/mptrack/17-lok-sabha/n-reddeppa,16,19,11,11,15,13,14,12,7,16,8,10,6,9,6,15,6,10,5,3,6,2,8,5,4,8,5,8,8,10,5,1,2,5,2,3,4,3,3,3,5,2,5,2,2,3,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sridhar-kotagiri,Sridhar Kotagiri,YSRCP,Andhra Pradesh,Eluru,Male,50 years,Graduate,76,25,312,312,0,https://prsindia.org/mptrack/17-lok-sabha/sridhar-kotagiri,15,23,13,20,7,20,10,6,8,10,7,10,0,8,4,11,5,7,4,2,5,6,4,3,5,1,5,4,11,11,4,2,3,5,6,7,1,4,1,3,6,1,4,3,3,3,1,2,2,1,2,1,0,0,0,0,0,1,1,0,0,0,0
jayadev-galla,Jayadev Galla,TDP,Andhra Pradesh,Guntur,Male,57 years,Graduate,87,89,314,314,0,https://prsindia.org/mptrack/17-lok-sabha/jayadev-galla,13,17,10,20,14,11,4,11,9,16,7,13,5,7,8,7,4,3,3,6,4,6,6,3,4,5,7,3,10,5,5,6,2,8,3,5,4,4,5,4,4,3,5,5,1,1,2,3,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0
kuruva-gorantla-madhav,Kuruva Gorantla Madhav,YSRCP,Andhra Pradesh,Hindupur,Male,54 years,Professional Graduate,71,40,306,306,0,https://prsindia.org/mptrack/17-lok-sabha/kuruva-gorantla-madhav,18,13,9,15,7,8,10,7,7,7,12,6,6,12,6,11,7,6,6,8,4,6,8,6,5,8,1,6,3,4,4,6,1,2,3,8,4,3,6,3,6,0,3,5,3,2,3,3,3,1,2,3,0,0,0,0,0,0,0,0,0,0,0
